Stock ID,Bloomington Number
IT.0001,62009
IT.0003,62570
IT.0004,62571
IT.0005,62572
IT.0006,62573
IT.0007,62968
IT.0009,
IT.0010,
IT.0011,
IT.0012,62699
IT.0013,62575
IT.0014,62576
IT.0015,62577
IT.0017,
IT.0018,62579
IT.0019,62700
IT.0020,
IT.0022,
IT.0023,
IT.0024,62581
IT.0026,
IT.0027,62582
IT.0028,
IT.0029,62583
IT.0030,
IT.0031,62584
IT.0033,62586
IT.0034,62587
IT.0036,
IT.0037,62588
IT.0038,
IT.0039,62590
IT.0040,
IT.0041,62591
IT.0042,62592
IT.0043,62593
IT.0044,62594
IT.0045,
IT.0046,62595
IT.0047,62596
IT.0048,62597
IT.0049,62598
IT.0051,62600
IT.0052,
IT.0053,
IT.0055,62602
IT.0056,62603
IT.0057,62604
IT.0059,62606
IT.0061,62608
IT.0063,62610
IT.0065,62612
IT.0066,62613
IT.0077,
IT.0084,62627
IT.0100,63245
IT.0101,
IT.0102,
IT.0103,
IT.0104,62639
IT.0105,62640
IT.0106,62641
IT.0107,62642
IT.0108,62643
IT.0109,62644
IT.0110,
IT.0111,
IT.0112,
IT.0113,62645
IT.0114,
IT.0115,62646
IT.0116,
IT.0117,62647
IT.0118,62648
IT.0119,62649
IT.0120,
IT.0121,
IT.0122,
IT.0123,62650
IT.0124,
IT.0125,
IT.0126,
IT.0127,62651
IT.0128,62652
IT.0129,62653
IT.0130,62654
IT.0131,62655
IT.0132,62656
IT.0133,62657
IT.0134,62658
IT.0135,62659
IT.0136,62660
IT.0137,62661
IT.0139,62663
IT.0140,
IT.0141,62664
IT.0142,62665
IT.0144,62667
IT.0145,
IT.0146,62668
IT.0147,
IT.0148,62704
IT.0149,
IT.0150,62669
IT.0151,62670
IT.0152,
IT.0153,62671
IT.0154,62672
IT.0155,62673
IT.0156,62674
IT.0157,62675
IT.0158,
IT.0159,62676
IT.0161,62678
IT.0163,
IT.0165,62679
IT.0166,62680
IT.0167,
IT.0169,
IT.0170,62681
IT.0171,
IT.0172,62682
IT.0173,62683
IT.0174,62707
IT.0175,62684
IT.0176,
IT.0178,
IT.0179,
